ID,FoodGroup,Descrip,CommonName,MfgName,ScientificName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
17195,"Lamb, Veal, and Game Products","Lamb, variety meats and by-products, kidneys, raw",No name,No name,No name,97.0,15.74,2.95,0.82,0.0,0.0,95.0,0.22,52.41,11.0,0.0,28.0,7.51,2.24,0.62,13.0,0.446,6.38,17.0,0.118,246.0,126.9,2.24
15239,Finfish and Shellfish Products,"Fish, salmon, coho, farmed, cooked, dry heat",No name,No name,No name,178.0,24.3,8.23,0.0,0.0,0.0,59.0,0.568,3.17,1.5,0.0,14.0,7.393,0.113,0.1,12.0,0.08900000000000001,0.39,34.0,0.021,332.0,14.1,0.47
6967,"Soups, Sauces, and Gravies","Soup, vegetable soup, condensed, low sodium, prepared with equal volume water",No name,No name,No name,33.0,1.1,0.45,6.06,2.15,1.1,43.0,0.084,0.0,0.4,0.72,6.0,0.77,0.046,0.055,12.0,0.121,0.33,13.0,0.125,23.0,2.0,0.2
15221,Finfish and Shellfish Products,"Fish, tuna, yellowfin, fresh, cooked, dry heat",No name,No name,No name,130.0,29.15,0.59,0.0,0.0,0.0,22.0,1.038,2.35,0.0,0.29,2.0,22.07,0.13699999999999998,0.134,4.0,0.043,0.92,42.0,0.013,333.0,108.2,0.45
4544,Fats and Oils,"Shortening, household, lard and vegetable oil",No name,No name,No name,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18131,Baked Products,"Cake, white, dry mix, special dietary (includes lemon-flavored)",No name,No name,No name,397.0,3.0,8.4,79.6,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,111.0,2.395,0.179,0.289,26.0,0.057,1.99,10.0,0.3,296.0,2.5,0.3
11740,Vegetables and Vegetable Products,"Broccoli, flower clusters, raw",No name,No name,No name,28.0,2.98,0.35,5.24,0.0,0.0,150.0,0.159,0.0,93.2,0.0,71.0,0.638,0.119,0.065,48.0,0.045,0.88,25.0,0.229,66.0,3.0,0.4
15217,Finfish and Shellfish Products,"Fish, sucker, white, cooked, dry heat",No name,No name,No name,119.0,21.49,2.97,0.0,0.0,0.0,59.0,0.231,2.31,0.0,0.0,17.0,1.462,0.085,0.012,90.0,0.25,1.67,38.0,0.769,269.0,16.2,0.96
8582,Breakfast Cereals,"Cereals ready-to-eat, GENERAL MILLS, DORA THE EXPLORER",No name,General Mills Inc.,No name,366.0,5.6,5.7,82.8,21.2,10.2,522.0,1.852,5.6,22.2,0.93,1246.0,18.5,1.6,1.4,370.0,0.126,30.0,30.0,0.0,74.0,8.5,13.9
11081,Vegetables and Vegetable Products,"Beets, cooked, boiled, drained",No name,No name,No name,44.0,1.68,0.18,9.96,7.96,2.0,2.0,0.067,0.0,3.6,0.04,80.0,0.331,0.04,0.027000000000000003,16.0,0.07400000000000001,0.79,23.0,0.326,38.0,0.7,0.35
